Time,Voltage (mV)
3010,0.68
3020,0.66
3032,0.64
3042,0.64
3052,0.62
3063,0.6
3074,0.8
3085,0.77
3095,0.75
3105,0.73
3117,0.7
3127,0.68
3137,0.66
3148,0.64
3159,0.62
3170,0.6
3180,0.59
3190,0.57
3202,0.55
3212,0.53
3222,0.52
3233,0.5
3244,0.49
3254,0.47
3265,0.46
3275,0.45
3287,0.44
3297,0.7
3307,0.69
3318,0.76
3329,2.38
3339,2.76
3350,2.6
3360,4.29
3371,4.03
3382,3.71
3392,3.45
3403,4.44
3414,4.45
3424,4.46
3435,4.5
3445,4.31
3456,3.95
3467,3.66
3477,3.7
3488,4.26
3499,4.43
3509,4.49
3520,4.49
3530,4.45
3540,4.28
3552,3.93
3562,3.64
3573,4.48
3584,4.46
3594,4.31
3605,4.33
3615,4.4
3625,4.02
3637,4.5
3647,4.34
3658,4.27
3668,3.92
3679,4.44
3690,4.13
3700,4.43
3710,4.28
3722,4.48
3732,4.41
3743,4.42
3753,4.01
3764,4.39
3775,4.18
3785,3.85
3795,4.3
3807,4.34
3817,3.96
3828,3.67
3838,3.81
3849,4.43
3860,4.05
3870,4.13
3880,4.44
3892,4.05
3902,3.73
3913,4.42
3923,4.22
3934,4.27
3945,3.92
3955,4.46
3965,4.07
3977,4.48
3987,4.34
3998,4.45
4008,4.03
4019,3.72
4030,4.29
4040,3.94
4050,4.14
4062,3.81
4072,3.53
4083,3.29
4093,3.08
4104,2.89
4115,2.73
4125,2.59
4135,2.45
4147,2.34
4157,2.22
4167,2.12
4178,2.03
4189,1.95
4200,1.87
4210,1.79
4220,1.72
4232,1.66
4242,1.59
4252,1.54
4263,1.48
4274,1.43
4285,1.38
4295,1.34
4305,1.3
4317,1.25
4327,1.21
4337,1.17
4348,1.14
4359,1.1
4370,1.07
4380,1.04
4390,1.01
4402,0.98
4412,0.95
4422,0.92
4433,0.89
4444,0.87
4454,0.85
4465,0.82
4475,0.8
4487,0.78
4497,0.76
4507,0.74
4518,0.71
4529,0.7
4539,0.68
4550,0.66
4560,0.65
4572,0.63
4582,0.61
4592,0.6
4603,0.58
4614,0.57
4624,0.55
4635,0.54
4645,0.52
4656,0.51
4667,0.49
4677,0.48
4688,0.47
4699,0.46
4709,0.45
4720,0.43
4730,0.43
4741,0.42
4752,0.41
4762,0.39
4773,0.38
4784,0.38
4794,0.37
4805,0.36
4815,0.35
4826,0.34
4837,0.33
4847,0.32
4857,0.31
4869,0.31
4879,0.3
4890,0.29
4900,0.28
4911,0.27
4922,0.27
4932,0.26
4942,0.25
4954,0.25
4964,0.24
4974,0.24
4985,0.23
4996,0.22
5007,0.22
5017,0.22
5027,0.21
5039,0.21
5049,0.2
5059,0.2
5070,0.19
5081,0.18
5092,0.18
5102,0.18
5112,0.17
5124,0.17
5134,0.16
5144,0.16
5155,0.15
5166,0.15
5176,0.15
5187,0.14
5197,0.14
5209,0.14
5219,0.13
5229,0.13
5240,0.12
5251,0.12
5261,0.12
5272,0.11
5282,0.11
5293,0.11
5304,0.11
5314,0.1
5325,0.1
5336,0.1
5346,0.09
5357,0.09
5367,0.09
5378,0.09
5389,0.08
5399,0.08
5409,0.08
5421,0.08
5431,0.08
5442,0.07
5452,0.07
5463,0.07
5474,0.07
5484,0.07
5494,0.06
5506,0.06
5516,0.06
5526,0.06
5537,0.06
5548,0.06
5559,0.06
5569,0.05
5579,0.05
5591,0.05
5601,0.05
5611,0.05
5622,0.05
5633,0.04
5643,0.04
5654,0.04
5664,0.04
5675,0.04
5686,0.04
5696,0.04
5707,0.04
5718,0.03
5728,0.03
5739,0.03
5749,0.04
5760,0.03
5771,0.03
5781,0.03
5791,0.03
5803,0.03
5813,0.03
5824,0.03
5834,0.06
5844,0.05
5856,0.05
5866,0.05
5876,0.05
5888,0.05
5898,0.04
5908,0.04
5919,0.04
5929,0.04
5941,0.07
5951,0.07
5961,0.07
5972,0.08
5983,0.07
5993,0.07
6004,0.07
6014,0.07
6025,0.06
6036,0.06
6046,0.06
6056,0.06
6068,0.06
6078,0.06
6089,0.5
6099,0.47
6110,0.46
6121,0.44
6131,0.43
6141,0.42
6153,0.41
6163,0.39
6174,0.38
